link,category,label,types,address
https://tonviewer.com/Ef_vA6yRfmt2P4UHnxlrQUZFcBnKux8mL2eMqBgpeMFPorr4,person,frozen_early_miner,[],Ef_vA6yRfmt2P4UHnxlrQUZFcBnKux8mL2eMqBgpeMFPorr4
https://tonviewer.com/Ef8o6AM9sUZ8rOqLFY8PYeaC3gbopZR1BMkE8fcD0r5NnmCi,person,frozen_early_miner,[],Ef8o6AM9sUZ8rOqLFY8PYeaC3gbopZR1BMkE8fcD0r5NnmCi
https://tonviewer.com/Ef_fvrd0hBoVJUxoi7wH173Zk8NPiyVvxh5IoYSjEYZbOhsu,person,frozen_early_miner,[],Ef_fvrd0hBoVJUxoi7wH173Zk8NPiyVvxh5IoYSjEYZbOhsu
https://tonviewer.com/Ef9nzj6RBc4mQ6p3ng7mGJ7tp7MbzERhe7obkM9A0wnCCEcf,person,frozen_early_miner,[],Ef9nzj6RBc4mQ6p3ng7mGJ7tp7MbzERhe7obkM9A0wnCCEcf
https://tonviewer.com/Ef9rU-_AAnBkHB71TIC3QvUf5LcAsvj0B4IoYzAXLpEFd5CA,person,frozen_early_miner,[],Ef9rU-_AAnBkHB71TIC3QvUf5LcAsvj0B4IoYzAXLpEFd5CA
https://tonviewer.com/Ef9LynHHKgBxY6-l-W_dWN-CtGT2_ji5rN3EzOI-p9zWEfq6,person,frozen_early_miner,[],Ef9LynHHKgBxY6-l-W_dWN-CtGT2_ji5rN3EzOI-p9zWEfq6
https://tonviewer.com/Ef9hMd78gzSiVsK0zz0AHtEja8x1UoB_NDZMjn-l86NQK_2Y,person,frozen_early_miner,[],Ef9hMd78gzSiVsK0zz0AHtEja8x1UoB_NDZMjn-l86NQK_2Y
https://tonviewer.com/Ef80FNJ5NJO4-0QwlVAWckUZXdk-PfYDexDZ1-ju9SxhF0A6,person,frozen_early_miner,[],Ef80FNJ5NJO4-0QwlVAWckUZXdk-PfYDexDZ1-ju9SxhF0A6
https://tonviewer.com/Ef_fdIbThooPs4_r2DE_Z6ZsWycJdHLnsuKAJHTcbaZaipez,person,frozen_early_miner,[],Ef_fdIbThooPs4_r2DE_Z6ZsWycJdHLnsuKAJHTcbaZaipez
https://tonviewer.com/Ef_lva0qEiZhWrrZJl-IJxyCcTQmmTo71fIWyQ31HxJ8NurV,person,frozen_early_miner,[],Ef_lva0qEiZhWrrZJl-IJxyCcTQmmTo71fIWyQ31HxJ8NurV
https://tonviewer.com/Ef8sMGKypw006AeRYqimLjmY2Ufp-SHk8C0ZJBNgVBlzw_Nr,person,frozen_early_miner,[],Ef8sMGKypw006AeRYqimLjmY2Ufp-SHk8C0ZJBNgVBlzw_Nr
https://tonviewer.com/Ef-xcEX5-C22DE86S7EgbhCN7wGi4rQA35aXcafjOSVVranc,person,frozen_early_miner,[],Ef-xcEX5-C22DE86S7EgbhCN7wGi4rQA35aXcafjOSVVranc
https://tonviewer.com/EQCaSCHVak-jIc9ANutTAfHpZNM3YdGky7yaDzsTrg0WhFlm,person,frozen_early_miner,[],EQCaSCHVak-jIc9ANutTAfHpZNM3YdGky7yaDzsTrg0WhFlm
https://tonviewer.com/EQBS9U3AfD15fGmOtRMXQAxcPVBwNuItfLcDni9fkbTyyNX0,person,frozen_early_miner,[],EQBS9U3AfD15fGmOtRMXQAxcPVBwNuItfLcDni9fkbTyyNX0
https://tonviewer.com/EQBiMNL9qNWMAkJHuM0BFneYcuHL17kzS4pswpaEO-NGWrFG,person,frozen_early_miner,[],EQBiMNL9qNWMAkJHuM0BFneYcuHL17kzS4pswpaEO-NGWrFG
https://tonviewer.com/EQDxkhmQvPDtgcNst75JyXre6F1d9HA5RrQkfAm-6EYbebs6,person,frozen_early_miner,[],EQDxkhmQvPDtgcNst75JyXre6F1d9HA5RrQkfAm-6EYbebs6
https://tonviewer.com/EQBX1DOvSox2jnjN40ZFtUSQhSJMCyEWhBRdRERRSltibBMl,person,frozen_early_miner,[],EQBX1DOvSox2jnjN40ZFtUSQhSJMCyEWhBRdRERRSltibBMl
